epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1471,0.44398,0.31154,0.89647,0.88439,0.82781,0.9069,0.68377,0.79873,0.54331,1.13538,0.00327869,0.00327869,0.00327869
2,56.337,0.41968,0.30128,0.88727,0.88552,0.83383,0.88394,0.68468,0.82514,0.57225,1.14563,0.00660548,0.00660548,0.00660548
3,105.783,0.43395,0.30523,0.88594,0.85782,0.86941,0.89729,0.66674,0.81344,0.55571,1.11162,0.00992566,0.00992566,0.00992566
4,119.888,0.46977,0.32863,0.89776,0.82832,0.78666,0.87294,0.67932,0.82392,0.66534,1.12575,0.0099703,0.0099703,0.0099703
5,133.999,0.48638,0.34544,0.90561,0.84839,0.78378,0.90331,0.69595,0.84692,0.64316,1.12622,0.0099604,0.0099604,0.0099604
6,148.004,0.48296,0.33867,0.8949,0.85788,0.83769,0.9018,0.6925,0.83275,0.59987,1.11628,0.0099505,0.0099505,0.0099505
7,161.597,0.47544,0.33793,0.89964,0.82253,0.85794,0.91777,0.68035,0.82916,0.56265,1.11095,0.0099406,0.0099406,0.0099406
8,175.781,0.49074,0.34998,0.90225,0.83115,0.79444,0.88566,0.66001,0.86019,0.54346,1.16704,0.0099307,0.0099307,0.0099307
9,189.922,0.48181,0.35239,0.90725,0.85584,0.87433,0.91738,0.66173,0.89856,0.58977,1.12845,0.0099208,0.0099208,0.0099208
10,203.562,0.49645,0.35162,0.90194,0.80799,0.82309,0.90448,0.67193,0.85948,0.58141,1.11608,0.0099109,0.0099109,0.0099109
11,217.295,0.50094,0.36121,0.90555,0.87608,0.82236,0.88112,0.66333,0.89956,0.60964,1.11415,0.009901,0.009901,0.009901
12,231.187,0.48757,0.34616,0.89914,0.84775,0.80239,0.89682,0.67112,0.78907,0.59839,1.08431,0.0098911,0.0098911,0.0098911
13,245.429,0.50237,0.34148,0.90182,0.85035,0.77125,0.8924,0.67014,0.85212,0.55573,1.12423,0.0098812,0.0098812,0.0098812
14,259.412,0.48607,0.34068,0.9017,0.87206,0.75268,0.86922,0.66477,0.93698,0.60572,1.14391,0.0098713,0.0098713,0.0098713
15,273.074,0.48783,0.33761,0.91185,0.8859,0.72832,0.85507,0.65938,0.88017,0.65254,1.15325,0.0098614,0.0098614,0.0098614
16,287.277,0.49718,0.35971,0.90785,0.83355,0.78134,0.87308,0.6423,0.88652,0.66807,1.15326,0.0098515,0.0098515,0.0098515
17,300.958,0.49432,0.3472,0.90122,0.87585,0.80153,0.86628,0.66151,0.79019,0.59022,1.09988,0.0098416,0.0098416,0.0098416
18,314.256,0.48955,0.33923,0.90577,0.80685,0.82352,0.8893,0.66222,0.82511,0.60515,1.10307,0.0098317,0.0098317,0.0098317
19,327.937,0.48987,0.34949,0.90054,0.84545,0.8257,0.84968,0.67112,0.81648,0.57614,1.11078,0.0098218,0.0098218,0.0098218
20,345.545,0.4763,0.34249,0.89865,0.80473,0.83865,0.86464,0.64623,0.86194,0.59334,1.12123,0.0098119,0.0098119,0.0098119
21,360.022,0.48386,0.3434,0.90273,0.84759,0.8063,0.8749,0.65342,0.83147,0.60606,1.13614,0.009802,0.009802,0.009802
22,374.034,0.47572,0.336,0.90355,0.84758,0.82828,0.87312,0.67488,0.84042,0.59941,1.13226,0.0097921,0.0097921,0.0097921
23,387.807,0.47332,0.33582,0.89509,0.85821,0.83878,0.87521,0.65629,0.82281,0.62358,1.11024,0.0097822,0.0097822,0.0097822
24,401.867,0.49918,0.33951,0.90363,0.88135,0.80715,0.86819,0.66266,0.89571,0.66658,1.10044,0.0097723,0.0097723,0.0097723
25,415.665,0.47921,0.33595,0.90101,0.80853,0.79876,0.83956,0.61977,0.84597,0.7917,1.1464,0.0097624,0.0097624,0.0097624
26,429.636,0.48146,0.33838,0.89916,0.83434,0.78936,0.86408,0.64459,0.88294,0.66131,1.14718,0.0097525,0.0097525,0.0097525
27,443.48,0.4749,0.33491,0.90049,0.88122,0.83059,0.88318,0.66911,0.88335,0.6168,1.13484,0.0097426,0.0097426,0.0097426
28,457.126,0.47229,0.32729,0.90108,0.84937,0.83034,0.87704,0.65559,0.91149,0.56565,1.1319,0.0097327,0.0097327,0.0097327
29,470.589,0.46074,0.32673,0.89367,0.91009,0.75716,0.87742,0.65348,0.911,0.64676,1.14431,0.0097228,0.0097228,0.0097228
30,483.963,0.47676,0.33506,0.899,0.83695,0.80698,0.85511,0.65751,0.86193,0.67204,1.1336,0.0097129,0.0097129,0.0097129
31,497.236,0.47143,0.33083,0.90123,0.90628,0.76249,0.88798,0.67895,0.76975,0.53527,1.09426,0.009703,0.009703,0.009703
