epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9318,1.38704,2.74882,1.3663,0.96877,0.09333,0.29339,0.24873,0.97245,3.72325,1.08354,0.00330303,0.00330303,0.00330303
2,38.1132,1.07631,1.41752,1.13918,0.42969,0.41333,0.46187,0.30243,0.89182,2.93186,1.10306,0.00662979,0.00662979,0.00662979
3,53.3439,1.05258,1.22283,1.11303,0.54505,0.38517,0.4534,0.26573,1.03523,3.07349,1.1544,0.00994996,0.00994996,0.00994996
4,72.6078,1.08289,1.11142,1.12945,0.43975,0.36889,0.37772,0.17707,1.22734,3.7584,1.30338,0.0099703,0.0099703,0.0099703
5,92.5632,1.03269,0.95681,1.107,0.49707,0.45049,0.45613,0.23061,1.12359,3.26092,1.27067,0.0099604,0.0099604,0.0099604
6,108.039,0.96698,0.85223,1.07622,0.44299,0.36444,0.40673,0.20977,1.11659,3.47222,1.2997,0.0099505,0.0099505,0.0099505
7,123.679,0.94772,0.79648,1.06129,0.49889,0.40889,0.48546,0.24139,1.25132,3.10266,1.2895,0.0099406,0.0099406,0.0099406
8,138.731,0.91728,0.72336,1.04918,0.48564,0.50944,0.52163,0.29811,1.03079,3.47179,1.21034,0.0099307,0.0099307,0.0099307
9,155.483,0.89604,0.70224,1.04394,0.48329,0.47111,0.46925,0.26756,1.10718,3.12707,1.1905,0.0099208,0.0099208,0.0099208
10,171.804,0.88389,0.6642,1.03535,0.53295,0.44889,0.51576,0.25385,1.10844,3.40853,1.1935,0.0099109,0.0099109,0.0099109
11,188.055,0.85595,0.62162,1.0375,0.50723,0.48887,0.47662,0.28796,0.96608,3.50438,1.18838,0.009901,0.009901,0.009901
12,203.213,0.83004,0.59925,1.01987,0.4629,0.53431,0.512,0.22825,1.19088,3.55223,1.21752,0.0098911,0.0098911,0.0098911
13,218.663,0.83289,0.59346,1.02168,0.53732,0.49404,0.51316,0.25288,1.3299,3.48595,1.26564,0.0098812,0.0098812,0.0098812
14,243.077,0.81635,0.5899,1.01637,0.53441,0.46071,0.52355,0.26925,1.19664,3.31358,1.23259,0.0098713,0.0098713,0.0098713
15,260.358,0.81033,0.57113,1.00981,0.54091,0.50539,0.49168,0.25031,1.20575,3.54198,1.26146,0.0098614,0.0098614,0.0098614
16,276.869,0.79691,0.56086,1.00828,0.53006,0.49454,0.4891,0.23432,1.26546,3.46694,1.30304,0.0098515,0.0098515,0.0098515
17,291.875,0.78865,0.54627,1.00553,0.47585,0.46195,0.49954,0.29295,1.15503,3.92234,1.23087,0.0098416,0.0098416,0.0098416
18,307.906,0.76958,0.52715,0.99768,0.57045,0.52,0.52693,0.28748,1.00219,3.77228,1.16235,0.0098317,0.0098317,0.0098317
19,324.12,0.76715,0.52539,0.9904,0.56166,0.47516,0.51143,0.27056,1.20755,3.85897,1.30014,0.0098218,0.0098218,0.0098218
20,343.056,0.76902,0.52762,0.99972,0.52921,0.5522,0.53971,0.30219,1.04702,3.3948,1.17218,0.0098119,0.0098119,0.0098119
21,360.347,0.76158,0.5233,0.99312,0.53808,0.52412,0.54884,0.31319,1.02972,3.63406,1.15479,0.009802,0.009802,0.009802
22,376.43,0.74711,0.50658,0.98408,0.49897,0.50667,0.49476,0.29381,1.17413,3.81148,1.23369,0.0097921,0.0097921,0.0097921
23,392.362,0.74785,0.5045,0.98842,0.56153,0.48,0.52835,0.29579,1.32067,3.75001,1.26705,0.0097822,0.0097822,0.0097822
24,407.766,0.73715,0.50025,0.98653,0.49874,0.54222,0.51279,0.28761,1.16353,3.74884,1.26024,0.0097723,0.0097723,0.0097723
25,423.798,0.7302,0.49404,0.98171,0.53345,0.5222,0.51766,0.27357,1.2223,3.68158,1.26884,0.0097624,0.0097624,0.0097624
26,439.66,0.71686,0.48676,0.97588,0.55265,0.48819,0.50489,0.27843,1.04193,3.58979,1.19433,0.0097525,0.0097525,0.0097525
27,455.625,0.70798,0.46667,0.96432,0.55381,0.51632,0.53131,0.28678,1.10374,3.88429,1.22782,0.0097426,0.0097426,0.0097426
28,471.904,0.6913,0.46969,0.9559,0.5683,0.47111,0.52726,0.29987,1.06677,3.86929,1.23713,0.0097327,0.0097327,0.0097327
29,488.393,0.6959,0.46906,0.96215,0.49877,0.54142,0.52698,0.29798,1.14544,3.89025,1.26877,0.0097228,0.0097228,0.0097228
30,503.572,0.69472,0.46277,0.95651,0.56079,0.48444,0.51085,0.29865,1.01527,3.88013,1.19186,0.0097129,0.0097129,0.0097129
31,518.794,0.68224,0.45783,0.96437,0.56481,0.46877,0.52223,0.28354,1.03738,3.74101,1.1886,0.009703,0.009703,0.009703
32,538.585,0.68901,0.4526,0.96129,0.5343,0.50222,0.52897,0.29592,1.20393,3.9211,1.25638,0.0096931,0.0096931,0.0096931
33,559.098,0.67456,0.44382,0.95834,0.54733,0.52,0.54717,0.31212,1.02676,3.86881,1.2046,0.0096832,0.0096832,0.0096832
34,576.379,0.67974,0.45114,0.95159,0.54013,0.54089,0.54619,0.31876,1.06221,3.87127,1.1804,0.0096733,0.0096733,0.0096733
35,590.943,0.67661,0.44955,0.95664,0.56675,0.52,0.55754,0.30625,1.09223,3.83281,1.2203,0.0096634,0.0096634,0.0096634
36,606.172,0.67453,0.44371,0.95117,0.55414,0.53932,0.53288,0.28775,1.13988,4.31749,1.22454,0.0096535,0.0096535,0.0096535
37,620.857,0.6562,0.44046,0.95219,0.58999,0.54667,0.5812,0.33931,0.99446,3.71808,1.17805,0.0096436,0.0096436,0.0096436
38,635.44,0.65973,0.44375,0.94962,0.58256,0.49778,0.54987,0.31835,1.07096,3.66776,1.2305,0.0096337,0.0096337,0.0096337
39,650.659,0.65129,0.43844,0.94407,0.54717,0.52387,0.53484,0.29843,1.15142,3.82454,1.20457,0.0096238,0.0096238,0.0096238
40,665.554,0.64223,0.45908,0.9331,0.5528,0.49577,0.50191,0.28918,1.05299,3.69611,1.16226,0.0096139,0.0096139,0.0096139
41,681.64,0.65714,0.44065,0.94676,0.58307,0.50931,0.55649,0.31879,1.1477,3.76792,1.22482,0.009604,0.009604,0.009604
42,696.989,0.64803,0.42608,0.95059,0.56531,0.4936,0.55512,0.31272,1.06844,3.93617,1.19264,0.0095941,0.0095941,0.0095941
43,711.836,0.65561,0.43434,0.95068,0.53793,0.54,0.55988,0.30492,1.1433,3.94587,1.22896,0.0095842,0.0095842,0.0095842
44,726.988,0.64355,0.42345,0.94418,0.57507,0.50467,0.54297,0.28673,1.02255,4.11338,1.17301,0.0095743,0.0095743,0.0095743
45,742.22,0.64184,0.42682,0.9469,0.54863,0.51026,0.54763,0.28677,1.06213,4.11751,1.206,0.0095644,0.0095644,0.0095644
46,757.555,0.62753,0.4091,0.9412,0.52907,0.48407,0.51734,0.27459,1.03179,4.40099,1.21073,0.0095545,0.0095545,0.0095545
47,773.069,0.62186,0.41063,0.93124,0.59432,0.54018,0.54159,0.30421,1.08468,4.12874,1.21258,0.0095446,0.0095446,0.0095446
48,791.28,0.6178,0.40972,0.93624,0.5925,0.52,0.56951,0.32779,1.04022,3.7286,1.18387,0.0095347,0.0095347,0.0095347
49,808.505,0.6275,0.41365,0.93777,0.56718,0.57067,0.5768,0.33779,0.95072,3.97986,1.17539,0.0095248,0.0095248,0.0095248
50,823.915,0.62189,0.40884,0.92779,0.57353,0.58832,0.58296,0.3386,1.06525,4.07498,1.21303,0.0095149,0.0095149,0.0095149
51,839.373,0.61045,0.40348,0.93135,0.58071,0.48935,0.56807,0.28518,1.13513,4.00738,1.20984,0.009505,0.009505,0.009505
52,854.856,0.61496,0.40748,0.9334,0.59043,0.52554,0.5805,0.32528,0.99944,4.06683,1.17208,0.0094951,0.0094951,0.0094951
53,869.843,0.60575,0.39486,0.93528,0.58129,0.54365,0.56419,0.32362,1.08224,3.97932,1.18836,0.0094852,0.0094852,0.0094852
54,884.757,0.62156,0.41272,0.93668,0.57162,0.52667,0.55592,0.31108,1.03593,4.13678,1.21842,0.0094753,0.0094753,0.0094753
55,900.386,0.60597,0.40621,0.9252,0.56304,0.52551,0.55935,0.33715,1.04643,3.8014,1.16927,0.0094654,0.0094654,0.0094654
56,915.761,0.60189,0.39461,0.92293,0.53014,0.49588,0.54161,0.3168,0.97884,3.84619,1.14752,0.0094555,0.0094555,0.0094555
57,937.117,0.60144,0.39402,0.9312,0.56113,0.51945,0.51842,0.29152,1.0916,4.2054,1.21282,0.0094456,0.0094456,0.0094456
58,954.041,0.60641,0.40335,0.92991,0.55394,0.5052,0.5202,0.28408,1.09037,4.07323,1.24912,0.0094357,0.0094357,0.0094357
59,970.659,0.59497,0.39049,0.92648,0.54851,0.50667,0.55307,0.31728,1.04197,4.08007,1.18961,0.0094258,0.0094258,0.0094258
60,987.088,0.59034,0.39521,0.92798,0.50593,0.57294,0.57219,0.33855,0.98781,4.10174,1.16516,0.0094159,0.0094159,0.0094159
61,1010.82,0.60019,0.40023,0.92666,0.56856,0.49404,0.54566,0.30328,1.01742,3.9435,1.17176,0.009406,0.009406,0.009406
62,1025.85,0.60249,0.39759,0.93053,0.577,0.51313,0.54258,0.30892,1.12628,4.04783,1.23323,0.0093961,0.0093961,0.0093961
63,1040.06,0.58728,0.38977,0.92037,0.57566,0.52,0.52595,0.29575,0.99103,4.11339,1.19321,0.0093862,0.0093862,0.0093862
64,1055.19,0.58454,0.38145,0.92442,0.58699,0.50667,0.53316,0.29264,1.09214,4.17676,1.20523,0.0093763,0.0093763,0.0093763
65,1071.27,0.58874,0.38809,0.9272,0.59418,0.54131,0.53999,0.32524,1.0761,4.02889,1.19755,0.0093664,0.0093664,0.0093664
66,1086.11,0.58224,0.38379,0.92215,0.58005,0.53045,0.54906,0.31841,1.0939,4.05926,1.18803,0.0093565,0.0093565,0.0093565
67,1101.24,0.59693,0.3861,0.92854,0.58001,0.53333,0.54483,0.29233,1.20435,4.06482,1.2866,0.0093466,0.0093466,0.0093466
68,1116.06,0.58213,0.38576,0.92477,0.57346,0.52,0.5437,0.31733,1.11649,4.24373,1.20031,0.0093367,0.0093367,0.0093367
69,1131.36,0.58003,0.38267,0.92392,0.53973,0.52889,0.52529,0.2963,1.0468,4.20136,1.18203,0.0093268,0.0093268,0.0093268
70,1146.56,0.57128,0.38094,0.91958,0.57983,0.54222,0.5338,0.3284,1.08411,4.15198,1.21902,0.0093169,0.0093169,0.0093169
71,1161.89,0.5763,0.38523,0.92038,0.59662,0.53333,0.54324,0.32616,1.14316,4.21157,1.1887,0.009307,0.009307,0.009307
72,1183.7,0.56571,0.37015,0.91621,0.57683,0.47598,0.54411,0.28325,1.06125,4.12692,1.1891,0.0092971,0.0092971,0.0092971
73,1206.34,0.57294,0.37384,0.91676,0.5439,0.55902,0.5648,0.32285,0.97984,4.12994,1.17412,0.0092872,0.0092872,0.0092872
74,1221.63,0.5611,0.37099,0.91238,0.53367,0.53426,0.53801,0.31346,0.98151,3.96713,1.20139,0.0092773,0.0092773,0.0092773
75,1237.26,0.56163,0.3726,0.91308,0.58975,0.51116,0.54438,0.31297,1.07347,4.10521,1.21202,0.0092674,0.0092674,0.0092674
76,1254.5,0.56054,0.36806,0.91553,0.54466,0.50186,0.5563,0.32192,1.09647,4.1679,1.19132,0.0092575,0.0092575,0.0092575
77,1270.35,0.5546,0.37108,0.91809,0.56659,0.54222,0.54326,0.31979,1.03381,3.94672,1.17806,0.0092476,0.0092476,0.0092476
78,1285.85,0.56918,0.38215,0.92225,0.55958,0.59406,0.56665,0.32188,1.04942,4.07496,1.18681,0.0092377,0.0092377,0.0092377
